Categoria,Puntos,Pregunta_ES,Correcta_ES,Opcion1_ES,Opcion2_ES,Opcion3_ES,Opcion4_ES,Referencia_ES,Pregunta_EN,Correcta_EN,Option1_EN,Option2_EN,Option3_EN,Option4_EN,Reference_EN,Pergunta_PT,Correta_PT,Opcao1_PT,Opcao2_PT,Opcao3_PT,Opcao4_PT,Referencia_PT
Antiguo Testamento,100,¿Qué juez derrotó a los madianitas con solo 300 hombres?,Gedeón,Gedeón,Sansón,Débora,Jefté,Jueces 7:7,Which judge defeated the Midianites with only 300 men?,Gideon,Gideon,Samson,Deborah,Jephthah,Judges 7:7,Qual juiz derrotou os midianitas com apenas 300 homens?,Gideão,Gideão,Sansão,Débora,Jefté,Juízes 7:7
Antiguo Testamento,100,¿Qué mujer llegó a ser reina y salvó a su pueblo?,Ester,Ester,Rut,Sara,Miriam,Ester 4:16,Which woman became queen and saved her people?,Esther,Esther,Ruth,Sarah,Miriam,Esther 4:16,Qual mulher se tornou rainha e salvou seu povo?,Ester,Ester,Rute,Sara,Miriã,Ester 4:16
Antiguo Testamento,100,¿Qué rey pidió a Dios un “corazón entendido” para gobernar?,Salomón,Salomón,Saúl,David,Ezequías,1 Reyes 3:9,Which king asked God for an “understanding heart” to govern?,Solomon,Solomon,Saul,David,Hezekiah,1 Kings 3:9,Qual rei pediu a Deus um “coração entendido” para governar?,Salomão,Salomão,Saul,Davi,Ezequias,1 Reis 3:9
Antiguo Testamento,100,¿Qué instrumento usó Josué en Jericó para la caída de los muros?,Trompetas,Trompetas,Arpas,Tambores,Címbalos,Josué 6:20,What instrument was used at Jericho for the walls to fall?,Trumpets,Trumpets,Harps,Drums,Cymbals,Joshua 6:20,Que instrumento foi usado em Jericó para a queda das muralhas?,Trombetas,Trombetas,Harpa,Tambores,Címbalos,Josué 6:20
Antiguo Testamento,100,¿Qué patriarca tuvo doce hijos que originaron las doce tribus?,Jacob,Jacob,Isaac,Abraham,José,Génesis 35:22-26,Which patriarch had twelve sons who became the twelve tribes?,Jacob,Jacob,Isaac,Abraham,Joseph,Genesis 35:22-26,Qual patriarca teve doze filhos que deram origem às doze tribos?,Jacó,Jacó,Isaque,Abraão,José,Gênesis 35:22-26
Antiguo Testamento,100,¿Qué profeta fue llevado al cielo en un torbellino?,Elías,Elías,Eliseo,Isaías,Jeremías,2 Reyes 2:11,Which prophet was taken up to heaven in a whirlwind?,Elijah,Elijah,Elisha,Isaiah,Jeremiah,2 Kings 2:11,Qual profeta foi levado ao céu num redemoinho?,Elias,Elias,Eliseu,Isaías,Jeremias,2 Reis 2:11
Antiguo Testamento,100,¿Cómo se llamaba el gigante que David venció?,Goliat,Goliat,Og,Gog,Nimrod,1 Samuel 17:4,What was the name of the giant David defeated?,Goliath,Goliath,Og,Gog,Nimrod,1 Samuel 17:4,Como se chamava o gigante que Davi derrotou?,Golias,Golias,Ogue,Gogue,Ninrode,1 Samuel 17:4
Antiguo Testamento,100,¿Quién escondió a Moisés cuando era bebé?,Su madre Jocabed,Su madre Jocabed,Miriam,La hija de Faraón,Sara,Éxodo 2:2-3,Who hid Moses when he was a baby?,His mother Jochebed,His mother Jochebed,Miriam,Pharaoh's daughter,Sarah,Exodus 2:2-3,Quem escondeu Moisés quando ele era bebê?,Sua mãe Joquebede,Sua mãe Joquebede,Miriã,A filha de Faraó,Sara,Êxodo 2:2-3
Antiguo Testamento,100,¿Qué libro comienza con “En el principio creó Dios…”?,Génesis,Génesis,Éxodo,Levítico,Números,Génesis 1:1,Which book begins with “In the beginning God created…”?,Genesis,Genesis,Exodus,Leviticus,Numbers,Genesis 1:1,Que livro começa com “No princípio criou Deus…”?,Gênesis,Gênesis,Êxodo,Levítico,Números,Gênesis 1:1
Antiguo Testamento,100,¿Qué profeta interpretó el sueño de Nabucodonosor sobre una estatua?,Daniel,Daniel,Ezequiel,Jeremías,Isaías,Daniel 2:19,Which prophet interpreted Nebuchadnezzar’s statue dream?,Daniel,Daniel,Ezekiel,Jeremiah,Isaiah,Daniel 2:19,Qual profeta interpretou o sonho da estátua de Nabucodonosor?,Daniel,Daniel,Ezequiel,Jeremias,Isaías,Daniel 2:19
Evangelios,100,¿Quién anunció a María que tendría un hijo llamado Jesús?,El ángel Gabriel,El ángel Gabriel,Miguel,Rafael,Uriel,Lucas 1:26-31,Who announced to Mary she would have a son named Jesus?,The angel Gabriel,The angel Gabriel,Michael,Raphael,Uriel,Luke 1:26-31,Quem anunciou a Maria que teria um filho chamado Jesus?,O anjo Gabriel,O anjo Gabriel,Miguel,Rafael,Uriel,Lucas 1:26-31
Evangelios,100,¿Cuál fue el primer milagro de Jesús según Juan?,Convertir agua en vino,Convertir agua en vino,Sanar un leproso,Caminar sobre el agua,Resucitar a Lázaro,Juan 2:11,What was Jesus’ first miracle in John?,Turning water into wine,Turning water into wine,Healing a leper,Walking on water,Raising Lazarus,John 2:11,Qual foi o primeiro milagre de Jesus em João?,Transformar água em vinho,Transformar água em vinho,Curar um leproso,Andar sobre as águas,Ressuscitar Lázaro,João 2:11
Evangelios,100,¿Qué discípulo era recaudador de impuestos antes de seguir a Jesús?,Mateo,Mateo,Pedro,Juan,Santiago,Mateo 9:9,Which disciple was a tax collector?,Matthew,Matthew,Peter,John,James,Matthew 9:9,Que discípulo era cobrador de impostos?,Mateus,Mateus,Pedro,João,Tiago,Mateus 9:9
Evangelios,100,¿Qué señal dio Lucas para identificar al bebé Jesús?,Envuelto en pañales y en un pesebre,Envuelto en pañales y en un pesebre,Una corona de oro,Una estrella sobre su casa,Una espada en su mano,Lucas 2:12,What sign did Luke give to identify baby Jesus?,Wrapped in cloths and lying in a manger,Wrapped in cloths and lying in a manger,A golden crown,A star over His house,A sword in His hand,Luke 2:12,Que sinal Lucas deu para identificar o bebê Jesus?,Envolto em panos e numa manjedoura,Envolto em panos e numa manjedoura,Uma coroa de ouro,Uma estrela sobre sua casa,Uma espada na mão,Lucas 2:12
Evangelios,100,¿Qué parábola habla de una oveja perdida?,La oveja perdida,La oveja perdida,El sembrador,El hijo pródigo,El rico y Lázaro,Lucas 15:4-6,Which parable is about a lost sheep?,The lost sheep,The lost sheep,The sower,The prodigal son,The rich man and Lazarus,Luke 15:4-6,Que parábola fala da ovelha perdida?,A ovelha perdida,A ovelha perdida,O semeador,O filho pródigo,O rico e Lázaro,Lucas 15:4-6
Evangelios,100,¿Qué dijo Jesús al iniciar su predicación según Marcos 1?,“El reino de Dios se ha acercado”,“El reino de Dios se ha acercado”,“Yo soy el pan”,“No temas”,“Paz a vosotros”,Marcos 1:15,What did Jesus proclaim in Mark 1?,“The kingdom of God has come near”,“The kingdom of God has come near”,“I am the bread”,“Do not fear”,“Peace be with you”,Mark 1:15,Que Jesus proclamou em Marcos 1?,“O reino de Deus está próximo”,“O reino de Deus está próximo”,“Eu sou o pão”,“Não temas”,“Paz a vocês”,Marcos 1:15
Evangelios,100,¿Quién ungió a Jesús con perfume en Betania según Juan?,María (hermana de Lázaro),María (hermana de Lázaro),Marta,Ester,Lidia,Juan 12:3,Who anointed Jesus with perfume in Bethany (John)?,Mary (Lazarus' sister),Mary (Lazarus' sister),Martha,Esther,Lydia,John 12:3,Quem ungiu Jesus com perfume em Betânia (João)?,Maria (irmã de Lázaro),Maria (irmã de Lázaro),Marta,Ester,Lídia,João 12:3
Evangelios,100,¿Qué sanó Jesús al tocar a la suegra de Pedro?,Su fiebre,Su fiebre,Su ceguera,Su sordera,Su parálisis,Mateo 8:14-15,What did Jesus heal in Peter’s mother-in-law?,Her fever,Her fever,Blindness,Deafness,Paralysis,Matthew 8:14-15,O que Jesus curou na sogra de Pedro?,A febre,A febre,Cegueira,Surdez,Paralisia,Mateus 8:14-15
Evangelios,100,¿Cómo se llama el lugar donde crucificaron a Jesús?,Gólgota,Gólgota,Getsemaní,Betania,Siloé,Juan 19:17,What is the place where Jesus was crucified called?,Golgotha,Golgotha,Gethsemane,Bethany,Siloam,John 19:17,Como se chama o lugar onde Jesus foi crucificado?,Gólgota,Gólgota,Getsêmani,Betânia,Siloé,João 19:17
Evangelios,100,¿Quién escribió “En el principio era el Verbo”?,Juan,Juan,Mateo,Marcos,Lucas,Juan 1:1,Who wrote “In the beginning was the Word”?,John,John,Matthew,Mark,Luke,John 1:1,Quem escreveu “No princípio era o Verbo”?,João,João,Mateus,Marcos,Lucas,João 1:1
