Categoria,Puntos,Pregunta_ES,Correcta_ES,Opcion1_ES,Opcion2_ES,Opcion3_ES,Opcion4_ES,Referencia_ES,Pregunta_EN,Correcta_EN,Option1_EN,Option2_EN,Option3_EN,Option4_EN,Reference_EN,Pergunta_PT,Correta_PT,Opcao1_PT,Opcao2_PT,Opcao3_PT,Opcao4_PT,Referencia_PT
Antiguo Testamento,100,¿Cómo se llamaba el hermano de Moisés?,Aarón,Aarón,Josué,Caleb,Elí,Éxodo 4:14,What was Moses’ brother’s name?,Aaron,Aaron,Joshua,Caleb,Eli,Exodus 4:14,Como se chamava o irmão de Moisés?,Arão,Arão,Josué,Calebe,Eli,Êxodo 4:14
Antiguo Testamento,100,¿Qué libro contiene el relato de David y Goliat?,1 Samuel,1 Samuel,Jueces,1 Reyes,Nehemías,1 Samuel 17:1-50,Which book contains the story of David and Goliath?,1 Samuel,1 Samuel,Judges,1 Kings,Nehemiah,1 Samuel 17:1-50,Que livro contém o relato de Davi e Golias?,1 Samuel,1 Samuel,Juízes,1 Reis,Neemias,1 Samuel 17:1-50
Antiguo Testamento,100,¿Qué hombre construyó un arca por mandato de Dios?,Noé,Noé,Moisés,Abraham,Isaac,Génesis 6:13-14,Which man built an ark by God’s command?,Noah,Noah,Moses,Abraham,Isaac,Genesis 6:13-14,Que homem construiu uma arca por ordem de Deus?,Noé,Noé,Moisés,Abraão,Isaque,Gênesis 6:13-14
Antiguo Testamento,100,¿Qué libro describe la creación del mundo?,Génesis,Génesis,Éxodo,Levítico,Deuteronomio,Génesis 1:1,Which book describes the creation of the world?,Genesis,Genesis,Exodus,Leviticus,Deuteronomy,Genesis 1:1,Que livro descreve a criação do mundo?,Gênesis,Gênesis,Êxodo,Levítico,Deuteronômio,Gênesis 1:1
Antiguo Testamento,100,¿Cuál es el primer libro poético del Antiguo Testamento?,Job,Job,Salmos,Proverbios,Eclesiastés,Job 1:1,What is the first poetic book of the Old Testament?,Job,Job,Psalms,Proverbs,Ecclesiastes,Job 1:1,Qual é o primeiro livro poético do Antigo Testamento?,Jó,Jó,Salmos,Provérbios,Eclesiastes,Jó 1:1
Antiguo Testamento,100,¿Qué juez tenía una fuerza extraordinaria?,Sansón,Sansón,Gedeón,Barac,Otoniel,Jueces 13:24-25,Which judge had extraordinary strength?,Samson,Samson,Gideon,Barak,Othniel,Judges 13:24-25,Que juiz tinha força extraordinária?,Sansão,Sansão,Gideão,Baraque,Otniel,Juízes 13:24-25
Antiguo Testamento,100,¿Qué sabio rey escribió muchos proverbios?,Salomón,Salomón,Saúl,David,Ezequías,1 Reyes 4:32,Which wise king wrote many proverbs?,Solomon,Solomon,Saul,David,Hezekiah,1 Kings 4:32,Que rei sábio escreveu muitos provérbios?,Salomão,Salomão,Saul,Davi,Ezequias,1 Reis 4:32
Antiguo Testamento,100,¿Qué ciudad cayó cuando Israel marchó alrededor de sus muros?,Jericó,Jericó,Ai,Hebrón,Betel,Josué 6:20,Which city fell when Israel marched around its walls?,Jericho,Jericho,Ai,Hebron,Bethel,Joshua 6:20,Que cidade caiu quando Israel marchou ao redor de seus muros?,Jericó,Jericó,Ai,Hebrom,Betel,Josué 6:20
Antiguo Testamento,100,¿Qué libro narra el regreso del exilio y la reconstrucción del templo?,Esdras,Esdras,Ester,Rut,Cantar de los Cantares,Esdras 1:1-3,Which book tells about the return from exile and rebuilding the temple?,Ezra,Ezra,Esther,Ruth,Song of Solomon,Ezra 1:1-3,Que livro narra o retorno do exílio e a reconstrução do templo?,Esdras,Esdras,Ester,Rute,Cântico dos Cânticos,Esdras 1:1-3
Evangelios,100,¿En qué evangelio se encuentra el nacimiento de Jesús en Belén con los magos?,Mateo,Mateo,Marcos,Lucas,Juan,Mateo 2:1-2,In which Gospel is Jesus’ birth in Bethlehem with the magi?,Matthew,Matthew,Mark,Luke,John,Matthew 2:1-2,Em qual evangelho está o nascimento de Jesus em Belém com os magos?,Mateus,Mateus,Marcos,Lucas,João,Mateus 2:1-2
